Rank,Gene,
760,ENPP2,
761,POTEF,
762,TRIM11,
763,CSF1R,
764,LRRC56,
765,ENPP3,
766,IL10,
767,HP,
768,ANGPT4,
769,PPP1R1A,
770,XPNPEP2,
771,SERP1,
772,SERPINI1,
773,RPSA,
774,ECE1,
775,PCDH15,
776,KLK4,
777,LYPD3,
778,ZFR,
779,MRC2,
780,CAV1,
781,HDAC3,
782,CD36,
783,TGFBR1,
784,ITGAX,
785,ANPEP,
786,SERP2,
787,SERPINI2,
788,PRKX,
789,KIT,
790,TEK,
791,NRAS,
792,DHX9,
793,CDK4,
794,ABCA1,
795,CXCR2,
796,HSPA8,
797,PRKCZ,
798,COL18A1,
799,YARS,
800,ZFR2,
801,MYBL2,
802,AMH,
803,HTRA2,
804,HDAC2,
805,DNMT1,
806,PF4,
807,PHF1,
808,MAPK11,
809,CCR1,
810,NPHS1,
811,BMP4,
812,TCF7L2,
813,NTRK2,
814,APOC3,
815,AXIN1,
816,NEURL1B,
817,FTH1,
818,TLR2,
819,MYBL1,
820,GPC1,
821,CCR2,
822,APEH,
823,APBB3,
824,CASP9,
825,ADM,
826,BRCA1,
827,CDKN1A,
828,ADAM9,
829,CASP4,
830,TMED10,
831,SCARB1,
832,HIF1A,
833,DCN,
834,SMAD4,
835,FBXW7,
836,ADRB2,
837,DDX41,
838,CAD,
839,GNB3,
840,MYD88,
841,CACNA1A,
842,LRP8,
843,ACLY,
844,CYP7A1,
845,DDIT3,
846,CRB2,
847,SDC1,
848,ADM2,
849,DAG1,
850,ACTA1,
851,PLCG2,
852,LPA,
853,DNM2,
854,AGRN,
855,HSD17B6,
856,HSPA4,
857,SUMO1,
858,FGF20,
859,LDLR,
860,HEY1,
861,FGF1,
862,FBXW11,
863,PLK1,
864,PSMB1,
865,ATP6AP2,
866,SNW1,
867,MRAP,
868,MET,
869,TXN,
870,SHH,
871,POTEI,
872,F9,
873,RYR1,
874,MED19,
875,POTEE,
876,PRKCH,
877,CD68,
878,MAPK9,
879,EGLN1,
880,UGT1A9,
881,GGT2,
882,GDI1,
883,AIRE,
884,NUP107,
885,NUP85,
886,EGLN3,
887,UGT2B4,
888,POTEJ,
889,SREBF2,
890,LRSAM1,
891,TTPA,
892,NPPB,
893,GSR,
894,PRKCA,
895,GAA,
896,KRT74,
897,FASN,
898,LGALS3,
899,APOA2,
900,GSAP,
901,TROVE2,
902,MND1,
903,PREP,
904,SP1,
905,PTPRN,
906,GNG2,
907,EGLN2,
908,COPA,
909,ADD1,
910,EFNB2,
911,PPOX,
912,PKP4,
913,CTSS,
914,GRPEL1,
915,PARK7,
916,NFKBIA,
917,NR3C2,
918,S100B,
919,SMAD3,
920,LDLRAP1,
921,ETV3,
922,CPN1,
923,RANBP2,
924,UMPS,
925,THOP1,
926,KRT71,
927,NPY,
928,CFDP1,
929,SMAD2,
930,ACACB,
931,PSMA5,
932,F13B,
933,SLC15A1,
934,AGTR2,
935,SDC4,
936,GNAI3,
937,F2R,
938,FGR,
939,HDAC9,
940,IGF1R,
941,HSPD1,
942,FABP4,
943,ZNF274,
944,PAWR,
945,ITM2C,
946,ANG,
947,ERLIN2,
948,KAT2B,
949,EPX,
950,MEMO1,
951,CLIP1,
952,SCD,
953,ADGRG6,
954,NPR1,
955,BMP2,
956,BBS2,
957,TEN1-CDK3,
958,CDK6,
959,ZNF143,
960,GNAI1,
961,MAPK10,
962,ANKRD28,
963,NR1H3,
964,LPAR1,
965,SLC15A2,
966,IL18,
967,DSG2,
968,DSP,
969,APOC2,
970,NOX1,
971,PINK1,
972,LIPK,
973,MAPK12,
974,MGP,
975,CCR7,
976,NLN,
977,ETFA,
978,SDC2,
979,CBS,
980,ETV1,
981,CPM,
982,CASP12,
983,DPM2,
984,NR1I2,
985,LRP5,
986,LINS1,
987,RAB5A,
988,STAT5B,
989,MESP2,
990,CDK16,
991,ABCA7,
992,PTPN11,
993,SH3GL1,
994,LPAR2,
995,SEH1L,
996,TET1,
997,IRAK2,
998,PLAC1,
999,NAV1,
1000,VASN,
1001,NRG2,
1002,USF1,
1003,CNTF,
1004,GALK1,
1005,NRG4,
1006,NEDD8,
1007,NRG3,
1008,MAPK13,
1009,GNAT3,
1010,TMEM27,
1011,ANXA1,
1012,FKBP8,
1013,MTTP,
1014,HERPUD1,
1015,ADGRD1,
1016,LPO,
1017,KALRN,
1018,CHP1,
1019,VCAN,
1020,LPAR3,
1021,NCOR2,
1022,TRH,
1023,CCR5,
1024,PLTP,
1025,DLG3,
1026,TNFRSF11B,
1027,CASK,
1028,C3,
1029,FOXO1,
1030,UBE2I,
1031,FPR2,
1032,ANXA7,
1033,LCAT,
1034,NDUFA9,
